journey_id,train_no,segment,station_from,station_to,day_of_week,time_of_day,season,weather_flag,trains_ahead,delay_at_entry,delay_at_exit
4,13028,AMP-BHP,AMP,BHP,4,587.35,winter,rain,4,20.6,22.94
4,13028,BHP-BWN,BHP,BWN,4,607.77,winter,rain,4,22.94,33.14
4,13028,BWN-BDC,BWN,BDC,4,689.31,winter,rain,4,33.14,38.37
4,13028,BDC-HWH,BDC,HWH,4,760.86,winter,rain,4,38.37,43.64
5,13028,NHT-RPH,NHT,RPH,1,527.53,monsoon,clear,3,4.25,7.45
5,13028,RPH-SNT,RPH,SNT,1,552.77,monsoon,clear,3,7.45,13.77
5,13028,SNT-AMP,SNT,AMP,1,576.69,monsoon,clear,3,13.77,16.07
5,13028,AMP-BHP,AMP,BHP,1,588.55,monsoon,clear,3,16.07,19.99
5,13028,BHP-BWN,BHP,BWN,1,609.27,monsoon,clear,3,19.99,25.93
5,13028,BWN-BDC,BWN,BDC,1,689.03,monsoon,clear,3,25.93,31.2
5,13028,BDC-HWH,BDC,HWH,1,762.91,monsoon,clear,3,31.2,34.93
6,13028,NHT-RPH,NHT,RPH,6,526.18,summer,clear,4,6.88,6.49
6,13028,RPH-SNT,RPH,SNT,6,554.93,summer,clear,4,6.49,11.49
6,13028,SNT-AMP,SNT,AMP,6,573.0,summer,clear,4,11.49,15.32
6,13028,AMP-BHP,AMP,BHP,6,592.21,summer,clear,4,15.32,16.81
6,13028,BHP-BWN,BHP,BWN,6,605.35,summer,clear,4,16.81,21.13
6,13028,BWN-BDC,BWN,BDC,6,691.16,summer,clear,4,21.13,29.87
6,13028,BDC-HWH,BDC,HWH,6,761.52,summer,clear,4,29.87,38.59
7,13028,NHT-RPH,NHT,RPH,3,524.05,autumn,clear,2,6.59,8.04
7,13028,RPH-SNT,RPH,SNT,3,553.33,autumn,clear,2,8.04,13.72
7,13028,SNT-AMP,SNT,AMP,3,574.12,autumn,clear,2,13.72,15.21
7,13028,AMP-BHP,AMP,BHP,3,587.4,autumn,clear,2,15.21,20.88
7,13028,BHP-BWN,BHP,BWN,3,607.4,autumn,clear,2,20.88,26.54
7,13028,BWN-BDC,BWN,BDC,3,690.95,autumn,clear,2,26.54,32.1
7,13028,BDC-HWH,BDC,HWH,3,756.69,autumn,clear,2,32.1,34.18
8,13028,NHT-RPH,NHT,RPH,6,527.66,summer,rain,3,0.0,2.84
8,13028,RPH-SNT,RPH,SNT,6,552.74,summer,rain,3,2.84,6.2
8,13028,SNT-AMP,SNT,AMP,6,576.23,summer,rain,3,6.2,7.32
8,13028,AMP-BHP,AMP,BHP,6,587.74,summer,rain,3,7.32,8.4
8,13028,BHP-BWN,BHP,BWN,6,606.62,summer,rain,3,8.4,13.51
8,13028,BWN-BDC,BWN,BDC,6,689.51,summer,rain,3,13.51,26.79
8,13028,BDC-HWH,BDC,HWH,6,758.56,summer,rain,3,26.79,25.17
9,13028,NHT-RPH,NHT,RPH,3,525.17,summer,rain,0,1.24,5.46
9,13028,RPH-SNT,RPH,SNT,3,548.77,summer,rain,0,5.46,12.4
9,13028,SNT-AMP,SNT,AMP,3,575.4,summer,rain,0,12.4,11.33
9,13028,AMP-BHP,AMP,BHP,3,587.35,summer,rain,0,11.33,15.73
9,13028,BHP-BWN,BHP,BWN,3,607.14,summer,rain,0,15.73,25.08
9,13028,BWN-BDC,BWN,BDC,3,690.77,summer,rain,0,25.08,29.3
9,13028,BDC-HWH,BDC,HWH,3,762.55,summer,rain,0,29.3,30.4
10,13028,NHT-RPH,NHT,RPH,4,525.22,autumn,clear,3,0.0,2.56
10,13028,RPH-SNT,RPH,SNT,4,551.8,autumn,clear,3,2.56,8.44
10,13028,SNT-AMP,SNT,AMP,4,576.74,autumn,clear,3,8.44,6.16
10,13028,AMP-BHP,AMP,BHP,4,588.8,autumn,clear,3,6.16,7.52
10,13028,BHP-BWN,BHP,BWN,4,607.75,autumn,clear,3,7.52,14.98
10,13028,BWN-BDC,BWN,BDC,4,690.1,autumn,clear,3,14.98,22.22
10,13028,BDC-HWH,BDC,HWH,4,762.62,autumn,clear,3,22.22,29.04
11,13028,NHT-RPH,NHT,RPH,2,525.18,autumn,rain,2,4.01,10.69
11,13028,RPH-SNT,RPH,SNT,2,554.66,autumn,rain,2,10.69,14.05
11,13028,SNT-AMP,SNT,AMP,2,574.75,autumn,rain,2,14.05,14.84
11,13028,AMP-BHP,AMP,BHP,2,588.36,autumn,rain,2,14.84,17.83
11,13028,BHP-BWN,BHP,BWN,2,606.23,autumn,rain,2,17.83,18.95
11,13028,BWN-BDC,BWN,BDC,2,687.7,autumn,rain,2,18.95,28.62
11,13028,BDC-HWH,BDC,HWH,2,764.23,autumn,rain,2,28.62,29.33
12,13028,NHT-RPH,NHT,RPH,6,525.0,summer,clear,3,10.42,9.36
12,13028,RPH-SNT,RPH,SNT,6,554.85,summer,clear,3,9.36,11.05
12,13028,SNT-AMP,SNT,AMP,6,571.88,summer,clear,3,11.05,15.77
12,13028,AMP-BHP,AMP,BHP,6,583.97,summer,clear,3,15.77,17.73
12,13028,BHP-BWN,BHP,BWN,6,605.44,summer,clear,3,17.73,22.03
12,13028,BWN-BDC,BWN,BDC,6,689.24,summer,clear,3,22.03,29.72
12,13028,BDC-HWH,BDC,HWH,6,759.68,summer,clear,3,29.72,30.6
13,13028,NHT-RPH,NHT,RPH,3,528.42,monsoon,clear,3,10.89,17.2
13,13028,RPH-SNT,RPH,SNT,3,552.32,monsoon,clear,3,17.2,15.36
13,13028,SNT-AMP,SNT,AMP,3,577.52,monsoon,clear,3,15.36,15.07
13,13028,AMP-BHP,AMP,BHP,3,585.99,monsoon,clear,3,15.07,17.56
13,13028,BHP-BWN,BHP,BWN,3,604.89,monsoon,clear,3,17.56,23.19
13,13028,BWN-BDC,BWN,BDC,3,688.8,monsoon,clear,3,23.19,29.6
13,13028,BDC-HWH,BDC,HWH,3,761.63,monsoon,clear,3,29.6,30.83
14,13028,NHT-RPH,NHT,RPH,5,525.02,monsoon,clear,0,1.74,4.92
14,13028,RPH-SNT,RPH,SNT,5,551.56,monsoon,clear,0,4.92,9.6
14,13028,SNT-AMP,SNT,AMP,5,574.5,monsoon,clear,0,9.6,9.64
14,13028,AMP-BHP,AMP,BHP,5,589.07,monsoon,clear,0,9.64,9.76
14,13028,BHP-BWN,BHP,BWN,5,607.02,monsoon,clear,0,9.76,19.11
14,13028,BWN-BDC,BWN,BDC,5,691.39,monsoon,clear,0,19.11,25.16
14,13028,BDC-HWH,BDC,HWH,5,763.6,monsoon,clear,0,25.16,30.92
15,13028,NHT-RPH,NHT,RPH,1,527.6,monsoon,clear,1,7.38,11.78
15,13028,RPH-SNT,RPH,SNT,1,552.03,monsoon,clear,1,11.78,13.96
15,13028,SNT-AMP,SNT,AMP,1,576.86,monsoon,clear,1,13.96,13.1
15,13028,AMP-BHP,AMP,BHP,1,587.49,monsoon,clear,1,13.1,19.69
15,13028,BHP-BWN,BHP,BWN,1,609.76,monsoon,clear,1,19.69,24.14
15,13028,BWN-BDC,BWN,BDC,1,681.92,monsoon,clear,1,24.14,30.45
15,13028,BDC-HWH,BDC,HWH,1,764.27,monsoon,clear,1,30.45,35.06
16,13028,NHT-RPH,NHT,RPH,1,528.62,summer,clear,1,10.19,11.5
16,13028,RPH-SNT,RPH,SNT,1,558.08,summer,clear,1,11.5,14.6
16,13028,SNT-AMP,SNT,AMP,1,577.19,summer,clear,1,14.6,15.58
16,13028,AMP-BHP,AMP,BHP,1,584.53,summer,clear,1,15.58,16.32
16,13028,BHP-BWN,BHP,BWN,1,605.33,summer,clear,1,16.32,18.45
16,13028,BWN-BDC,BWN,BDC,1,691.52,summer,clear,1,18.45,20.94
16,13028,BDC-HWH,BDC,HWH,1,759.1,summer,clear,1,20.94,26.84
17,13028,NHT-RPH,NHT,RPH,3,529.44,summer,clear,2,0.0,0.93
17,13028,RPH-SNT,RPH,SNT,3,546.98,summer,clear,2,0.93,4.69
17,13028,SNT-AMP,SNT,AMP,3,575.71,summer,clear,2,4.69,5.26
17,13028,AMP-BHP,AMP,BHP,3,587.54,summer,clear,2,5.26,9.52
17,13028,BHP-BWN,BHP,BWN,3,607.58,summer,clear,2,9.52,15.53
17,13028,BWN-BDC,BWN,BDC,3,691.02,summer,clear,2,15.53,20.91
17,13028,BDC-HWH,BDC,HWH,3,762.26,summer,clear,2,20.91,25.16
18,13028,NHT-RPH,NHT,RPH,6,529.38,winter,cloudy,2,4.49,6.16
18,13028,RPH-SNT,RPH,SNT,6,553.47,winter,cloudy,2,6.16,8.68
18,13028,SNT-AMP,SNT,AMP,6,573.78,winter,cloudy,2,8.68,11.32
18,13028,AMP-BHP,AMP,BHP,6,585.86,winter,cloudy,2,11.32,14.0
18,13028,BHP-BWN,BHP,BWN,6,611.76,winter,cloudy,2,14.0,22.69
18,13028,BWN-BDC,BWN,BDC,6,687.19,winter,cloudy,2,22.69,26.29
18,13028,BDC-HWH,BDC,HWH,6,759.8,winter,cloudy,2,26.29,30.84
19,13028,NHT-RPH,NHT,RPH,3,524.95,autumn,clear,1,6.49,11.3
19,13028,RPH-SNT,RPH,SNT,3,550.38,autumn,clear,1,11.3,12.54
19,13028,SNT-AMP,SNT,AMP,3,573.85,autumn,clear,1,12.54,15.55
19,13028,AMP-BHP,AMP,BHP,3,587.33,autumn,clear,1,15.55,18.87
19,13028,BHP-BWN,BHP,BWN,3,606.82,autumn,clear,1,18.87,23.17
19,13028,BWN-BDC,BWN,BDC,3,689.77,autumn,clear,1,23.17,25.79
19,13028,BDC-HWH,BDC,HWH,3,757.7,autumn,clear,1,25.79,24.04
20,13028,NHT-RPH,NHT,RPH,1,527.95,autumn,rain,3,2.62,5.29
20,13028,RPH-SNT,RPH,SNT,1,551.24,autumn,rain,3,5.29,13.95
20,13028,SNT-AMP,SNT,AMP,1,573.78,autumn,rain,3,13.95,16.71
20,13028,AMP-BHP,AMP,BHP,1,588.22,autumn,rain,3,16.71,20.88
20,13028,BHP-BWN,BHP,BWN,1,604.3,autumn,rain,3,20.88,25.21
20,13028,BWN-BDC,BWN,BDC,1,687.16,autumn,rain,3,25.21,32.5
20,13028,BDC-HWH,BDC,HWH,1,761.52,autumn,rain,3,32.5,38.5
21,13028,NHT-RPH,NHT,RPH,1,525.47,summer,clear,1,5.76,5.05
21,13028,RPH-SNT,RPH,SNT,1,553.21,summer,clear,1,5.05,8.07
21,13028,SNT-AMP,SNT,AMP,1,573.95,summer,clear,1,8.07,7.93
21,13028,AMP-BHP,AMP,BHP,1,582.15,summer,clear,1,7.93,14.88
21,13028,BHP-BWN,BHP,BWN,1,609.58,summer,clear,1,14.88,20.9
21,13028,BWN-BDC,BWN,BDC,1,687.64,summer,clear,1,20.9,27.64
21,13028,BDC-HWH,BDC,HWH,1,763.3,summer,clear,1,27.64,33.96
22,13028,NHT-RPH,NHT,RPH,3,525.39,summer,rain,1,0.56,6.7
22,13028,RPH-SNT,RPH,SNT,3,554.57,summer,rain,1,6.7,12.85
22,13028,SNT-AMP,SNT,AMP,3,577.29,summer,rain,1,12.85,12.6
22,13028,AMP-BHP,AMP,BHP,3,591.69,summer,rain,1,12.6,15.58
22,13028,BHP-BWN,BHP,BWN,3,606.46,summer,rain,1,15.58,25.71
22,13028,BWN-BDC,BWN,BDC,3,687.69,summer,rain,1,25.71,32.88
22,13028,BDC-HWH,BDC,HWH,3,764.56,summer,rain,1,32.88,38.64
23,13028,NHT-RPH,NHT,RPH,5,527.63,autumn,clear,2,6.81,4.94
23,13028,RPH-SNT,RPH,SNT,5,553.21,autumn,clear,2,4.94,8.71
23,13028,SNT-AMP,SNT,AMP,5,570.32,autumn,clear,2,8.71,12.84
23,13028,AMP-BHP,AMP,BHP,5,587.1,autumn,clear,2,12.84,15.39
23,13028,BHP-BWN,BHP,BWN,5,607.58,autumn,clear,2,15.39,20.76
23,13028,BWN-BDC,BWN,BDC,5,683.93,autumn,clear,2,20.76,20.48
23,13028,BDC-HWH,BDC,HWH,5,761.96,autumn,clear,2,20.48,21.69
24,13028,NHT-RPH,NHT,RPH,5,524.75,autumn,cloudy,4,6.03,12.12
24,13028,RPH-SNT,RPH,SNT,5,548.8,autumn,cloudy,4,12.12,16.17
24,13028,SNT-AMP,SNT,AMP,5,574.11,autumn,cloudy,4,16.17,17.68
24,13028,AMP-BHP,AMP,BHP,5,585.65,autumn,cloudy,4,17.68,19.7
24,13028,BHP-BWN,BHP,BWN,5,607.43,autumn,cloudy,4,19.7,22.89
24,13028,BWN-BDC,BWN,BDC,5,688.2,autumn,cloudy,4,22.89,31.39
24,13028,BDC-HWH,BDC,HWH,5,762.52,autumn,cloudy,4,31.39,34.15
25,13028,NHT-RPH,NHT,RPH,2,525.03,winter,cloudy,2,11.34,13.07
25,13028,RPH-SNT,RPH,SNT,2,551.89,winter,cloudy,2,13.07,19.32
25,13028,SNT-AMP,SNT,AMP,2,571.62,winter,cloudy,2,19.32,20.28
25,13028,AMP-BHP,AMP,BHP,2,590.31,winter,cloudy,2,20.28,23.3
25,13028,BHP-BWN,BHP,BWN,2,605.37,winter,cloudy,2,23.3,25.85
25,13028,BWN-BDC,BWN,BDC,2,688.73,winter,cloudy,2,25.85,33.09
25,13028,BDC-HWH,BDC,HWH,2,757.58,winter,cloudy,2,33.09,33.97
26,13028,NHT-RPH,NHT,RPH,2,526.1,winter,clear,5,0.0,5.04
26,13028,RPH-SNT,RPH,SNT,2,551.53,winter,clear,5,5.04,11.37
26,13028,SNT-AMP,SNT,AMP,2,575.6,winter,clear,5,11.37,13.65
26,13028,AMP-BHP,AMP,BHP,2,587.89,winter,clear,5,13.65,17.81
26,13028,BHP-BWN,BHP,BWN,2,610.92,winter,clear,5,17.81,22.31
26,13028,BWN-BDC,BWN,BDC,2,692.67,winter,clear,5,22.31,30.38
26,13028,BDC-HWH,BDC,HWH,2,761.86,winter,clear,5,30.38,36.61
27,13028,NHT-RPH,NHT,RPH,4,528.07,summer,clear,2,4.05,5.64
27,13028,RPH-SNT,RPH,SNT,4,552.22,summer,clear,2,5.64,11.94
27,13028,SNT-AMP,SNT,AMP,4,575.12,summer,clear,2,11.94,9.13
27,13028,AMP-BHP,AMP,BHP,4,588.1,summer,clear,2,9.13,12.16
27,13028,BHP-BWN,BHP,BWN,4,605.73,summer,clear,2,12.16,17.72
27,13028,BWN-BDC,BWN,BDC,4,683.7,summer,clear,2,17.72,22.57
27,13028,BDC-HWH,BDC,HWH,4,763.18,summer,clear,2,22.57,28.28
28,13028,NHT-RPH,NHT,RPH,3,527.37,winter,clear,1,9.69,9.74
28,13028,RPH-SNT,RPH,SNT,3,551.69,winter,clear,1,9.74,11.81
28,13028,SNT-AMP,SNT,AMP,3,575.15,winter,clear,1,11.81,15.22
28,13028,AMP-BHP,AMP,BHP,3,586.33,winter,clear,1,15.22,19.7
28,13028,BHP-BWN,BHP,BWN,3,606.28,winter,clear,1,19.7,23.76
28,13028,BWN-BDC,BWN,BDC,3,685.82,winter,clear,1,23.76,25.18
28,13028,BDC-HWH,BDC,HWH,3,761.58,winter,clear,1,25.18,29.59
29,13028,NHT-RPH,NHT,RPH,6,523.01,summer,rain,3,7.23,10.91
29,13028,RPH-SNT,RPH,SNT,6,550.8,summer,rain,3,10.91,14.19
29,13028,SNT-AMP,SNT,AMP,6,573.75,summer,rain,3,14.19,16.0
29,13028,AMP-BHP,AMP,BHP,6,588.08,summer,rain,3,16.0,21.02
29,13028,BHP-BWN,BHP,BWN,6,606.67,summer,rain,3,21.02,21.29
29,13028,BWN-BDC,BWN,BDC,6,688.48,summer,rain,3,21.29,32.26
29,13028,BDC-HWH,BDC,HWH,6,761.03,summer,rain,3,32.26,35.52
30,13028,NHT-RPH,NHT,RPH,6,528.28,summer,clear,3,3.29,5.3
30,13028,RPH-SNT,RPH,SNT,6,550.21,summer,clear,3,5.3,10.39
30,13028,SNT-AMP,SNT,AMP,6,575.05,summer,clear,3,10.39,11.53
30,13028,AMP-BHP,AMP,BHP,6,590.57,summer,clear,3,11.53,10.98
30,13028,BHP-BWN,BHP,BWN,6,609.55,summer,clear,3,10.98,14.81
30,13028,BWN-BDC,BWN,BDC,6,687.82,summer,clear,3,14.81,19.36
30,13028,BDC-HWH,BDC,HWH,6,764.96,summer,clear,3,19.36,31.04
31,13028,NHT-RPH,NHT,RPH,5,529.76,summer,cloudy,1,9.69,12.61
31,13028,RPH-SNT,RPH,SNT,5,550.83,summer,cloudy,1,12.61,16.51
31,13028,SNT-AMP,SNT,AMP,5,576.51,summer,cloudy,1,16.51,15.96
31,13028,AMP-BHP,AMP,BHP,5,588.01,summer,cloudy,1,15.96,21.66
31,13028,BHP-BWN,BHP,BWN,5,607.49,summer,cloudy,1,21.66,29.1
31,13028,BWN-BDC,BWN,BDC,5,686.51,summer,cloudy,1,29.1,34.43
31,13028,BDC-HWH,BDC,HWH,5,762.81,summer,cloudy,1,34.43,36.53
32,13028,NHT-RPH,NHT,RPH,2,526.58,winter,clear,3,8.99,13.63
32,13028,RPH-SNT,RPH,SNT,2,552.99,winter,clear,3,13.63,18.11
32,13028,SNT-AMP,SNT,AMP,2,573.53,winter,clear,3,18.11,19.51
32,13028,AMP-BHP,AMP,BHP,2,589.18,winter,clear,3,19.51,21.93
32,13028,BHP-BWN,BHP,BWN,2,606.48,winter,clear,3,21.93,26.61
32,13028,BWN-BDC,BWN,BDC,2,689.7,winter,clear,3,26.61,25.33
32,13028,BDC-HWH,BDC,HWH,2,762.7,winter,clear,3,25.33,30.02
33,13028,NHT-RPH,NHT,RPH,0,527.63,monsoon,clear,1,7.89,10.1
33,13028,RPH-SNT,RPH,SNT,0,550.97,monsoon,clear,1,10.1,16.18
33,13028,SNT-AMP,SNT,AMP,0,573.92,monsoon,clear,1,16.18,14.95
33,13028,AMP-BHP,AMP,BHP,0,590.91,monsoon,clear,1,14.95,14.72
33,13028,BHP-BWN,BHP,BWN,0,608.76,monsoon,clear,1,14.72,17.53
33,13028,BWN-BDC,BWN,BDC,0,683.87,monsoon,clear,1,17.53,23.08
33,13028,BDC-HWH,BDC,HWH,0,763.25,monsoon,clear,1,23.08,24.08
34,13028,NHT-RPH,NHT,RPH,4,525.79,monsoon,cloudy,1,2.7,6.03
34,13028,RPH-SNT,RPH,SNT,4,549.92,monsoon,cloudy,1,6.03,12.71
34,13028,SNT-AMP,SNT,AMP,4,577.26,monsoon,cloudy,1,12.71,17.11
34,13028,AMP-BHP,AMP,BHP,4,587.32,monsoon,cloudy,1,17.11,24.45
34,13028,BHP-BWN,BHP,BWN,4,607.96,monsoon,cloudy,1,24.45,28.03
34,13028,BWN-BDC,BWN,BDC,4,687.58,monsoon,cloudy,1,28.03,30.68
34,13028,BDC-HWH,BDC,HWH,4,761.39,monsoon,cloudy,1,30.68,38.49
35,13028,NHT-RPH,NHT,RPH,5,528.87,autumn,storm,2,10.44,12.49
35,13028,RPH-SNT,RPH,SNT,5,551.22,autumn,storm,2,12.49,12.62
35,13028,SNT-AMP,SNT,AMP,5,577.07,autumn,storm,2,12.62,18.35
35,13028,AMP-BHP,AMP,BHP,5,587.47,autumn,storm,2,18.35,17.56
35,13028,BHP-BWN,BHP,BWN,5,607.76,autumn,storm,2,17.56,23.07
35,13028,BWN-BDC,BWN,BDC,5,689.33,autumn,storm,2,23.07,34.81
35,13028,BDC-HWH,BDC,HWH,5,761.17,autumn,storm,2,34.81,33.61
36,13028,NHT-RPH,NHT,RPH,5,524.51,winter,cloudy,0,10.03,8.76
36,13028,RPH-SNT,RPH,SNT,5,550.98,winter,cloudy,0,8.76,7.84
36,13028,SNT-AMP,SNT,AMP,5,573.98,winter,cloudy,0,7.84,12.07
36,13028,AMP-BHP,AMP,BHP,5,584.4,winter,cloudy,0,12.07,15.77
36,13028,BHP-BWN,BHP,BWN,5,604.91,winter,cloudy,0,15.77,21.15
36,13028,BWN-BDC,BWN,BDC,5,689.97,winter,cloudy,0,21.15,21.67
36,13028,BDC-HWH,BDC,HWH,5,762.4,winter,cloudy,0,21.67,25.35
37,13028,NHT-RPH,NHT,RPH,0,526.47,autumn,storm,0,12.29,16.83
37,13028,RPH-SNT,RPH,SNT,0,552.22,autumn,storm,0,16.83,22.47
37,13028,SNT-AMP,SNT,AMP,0,572.61,autumn,storm,0,22.47,24.63
37,13028,AMP-BHP,AMP,BHP,0,589.03,autumn,storm,0,24.63,33.33
37,13028,BHP-BWN,BHP,BWN,0,608.26,autumn,storm,0,33.33,33.59
37,13028,BWN-BDC,BWN,BDC,0,688.42,autumn,storm,0,33.59,39.25
37,13028,BDC-HWH,BDC,HWH,0,761.16,autumn,storm,0,39.25,47.39
38,13028,NHT-RPH,NHT,RPH,5,525.55,monsoon,rain,1,10.92,13.64
38,13028,RPH-SNT,RPH,SNT,5,552.37,monsoon,rain,1,13.64,14.38
38,13028,SNT-AMP,SNT,AMP,5,575.61,monsoon,rain,1,14.38,18.8
38,13028,AMP-BHP,AMP,BHP,5,590.05,monsoon,rain,1,18.8,19.01
38,13028,BHP-BWN,BHP,BWN,5,604.37,monsoon,rain,1,19.01,23.2
38,13028,BWN-BDC,BWN,BDC,5,689.74,monsoon,rain,1,23.2,28.22
38,13028,BDC-HWH,BDC,HWH,5,757.63,monsoon,rain,1,28.22,33.89
39,13028,NHT-RPH,NHT,RPH,6,528.8,autumn,clear,0,6.56,8.15
39,13028,RPH-SNT,RPH,SNT,6,552.67,autumn,clear,0,8.15,8.26
39,13028,SNT-AMP,SNT,AMP,6,575.41,autumn,clear,0,8.26,8.16
39,13028,AMP-BHP,AMP,BHP,6,590.36,autumn,clear,0,8.16,8.88
39,13028,BHP-BWN,BHP,BWN,6,611.32,autumn,clear,0,8.88,10.69
39,13028,BWN-BDC,BWN,BDC,6,686.53,autumn,clear,0,10.69,9.98
39,13028,BDC-HWH,BDC,HWH,6,760.78,autumn,clear,0,9.98,7.94
40,13028,NHT-RPH,NHT,RPH,5,527.42,autumn,clear,1,0.37,2.8
40,13028,RPH-SNT,RPH,SNT,5,551.13,autumn,clear,1,2.8,7.6
40,13028,SNT-AMP,SNT,AMP,5,579.04,autumn,clear,1,7.6,6.69
40,13028,AMP-BHP,AMP,BHP,5,586.65,autumn,clear,1,6.69,10.22
40,13028,BHP-BWN,BHP,BWN,5,605.29,autumn,clear,1,10.22,11.26
40,13028,BWN-BDC,BWN,BDC,5,689.66,autumn,clear,1,11.26,21.54
40,13028,BDC-HWH,BDC,HWH,5,762.73,autumn,clear,1,21.54,27.96
41,13028,NHT-RPH,NHT,RPH,2,526.93,winter,clear,2,4.43,9.41
41,13028,RPH-SNT,RPH,SNT,2,555.09,winter,clear,2,9.41,15.19
41,13028,SNT-AMP,SNT,AMP,2,577.11,winter,clear,2,15.19,14.65
41,13028,AMP-BHP,AMP,BHP,2,587.82,winter,clear,2,14.65,20.17
41,13028,BHP-BWN,BHP,BWN,2,607.86,winter,clear,2,20.17,25.6
41,13028,BWN-BDC,BWN,BDC,2,693.5,winter,clear,2,25.6,26.6
41,13028,BDC-HWH,BDC,HWH,2,759.44,winter,clear,2,26.6,27.4
42,13028,NHT-RPH,NHT,RPH,2,526.8,autumn,clear,0,17.6,19.13
42,13028,RPH-SNT,RPH,SNT,2,555.4,autumn,clear,0,19.13,21.09
42,13028,SNT-AMP,SNT,AMP,2,575.01,autumn,clear,0,21.09,21.95
42,13028,AMP-BHP,AMP,BHP,2,584.72,autumn,clear,0,21.95,21.01
42,13028,BHP-BWN,BHP,BWN,2,608.18,autumn,clear,0,21.01,22.59
42,13028,BWN-BDC,BWN,BDC,2,687.89,autumn,clear,0,22.59,26.6
42,13028,BDC-HWH,BDC,HWH,2,763.26,autumn,clear,0,26.6,29.78
43,13028,NHT-RPH,NHT,RPH,5,524.99,autumn,clear,3,2.04,5.65
43,13028,RPH-SNT,RPH,SNT,5,549.89,autumn,clear,3,5.65,8.43
43,13028,SNT-AMP,SNT,AMP,5,573.2,autumn,clear,3,8.43,7.01
43,13028,AMP-BHP,AMP,BHP,5,589.02,autumn,clear,3,7.01,6.77
43,13028,BHP-BWN,BHP,BWN,5,605.78,autumn,clear,3,6.77,6.97
43,13028,BWN-BDC,BWN,BDC,5,691.26,autumn,clear,3,6.97,11.83
43,13028,BDC-HWH,BDC,HWH,5,760.77,autumn,clear,3,11.83,14.36
44,13028,NHT-RPH,NHT,RPH,2,523.98,summer,clear,0,7.31,9.43
44,13028,RPH-SNT,RPH,SNT,2,553.32,summer,clear,0,9.43,10.72
44,13028,SNT-AMP,SNT,AMP,2,578.25,summer,clear,0,10.72,14.0
44,13028,AMP-BHP,AMP,BHP,2,586.96,summer,clear,0,14.0,20.95
44,13028,BHP-BWN,BHP,BWN,2,608.51,summer,clear,0,20.95,26.0
44,13028,BWN-BDC,BWN,BDC,2,691.3,summer,clear,0,26.0,35.94
44,13028,BDC-HWH,BDC,HWH,2,763.22,summer,clear,0,35.94,35.17
45,13028,NHT-RPH,NHT,RPH,0,529.65,monsoon,rain,1,6.99,13.39
45,13028,RPH-SNT,RPH,SNT,0,552.87,monsoon,rain,1,13.39,15.76
45,13028,SNT-AMP,SNT,AMP,0,572.38,monsoon,rain,1,15.76,20.51
45,13028,AMP-BHP,AMP,BHP,0,585.89,monsoon,rain,1,20.51,24.08
45,13028,BHP-BWN,BHP,BWN,0,610.41,monsoon,rain,1,24.08,30.21
45,13028,BWN-BDC,BWN,BDC,0,688.3,monsoon,rain,1,30.21,36.37
45,13028,BDC-HWH,BDC,HWH,0,763.32,monsoon,rain,1,36.37,41.92
